PG.ProteinAccessions,PG.ProteinNames,GAERS_602_SCx,GAERS_601_SCx,GAERS_625_SCx,GAERS_614_SCx,GAERS_628_SCx,GAERS_590_SCx,NEC_601_SCx,NEC_687_SCx,NEC602_SCx,NEC_603_SCx,NEC_688_SCx,NEC_604_SCx
A0A0G2K0S7,A0A0G2K0S7_RAT,178587.9688,191230.9375,189719.5156,171562.3906,198296.2031,190548.9844,204718.1875,161305.2344,171404.0469,182455.1875,168400.5156,191747.0938
A0A0G2K0T5;F1LNV5;Q6P6Q9,A0A0G2K0T5_RAT,18496.01953,9125.644531,10843.26953,17953.98828,19905.18945,15693.06836,14215.18164,10360.16406,15423.65723,6739.352051,10573.8916,15528.91504
A0A0G2K0U3;A0A0G2K701;A0A0H2UHE0;A0A0H2UHY1;Q8R426,A0A0G2K0U3_RAT,4091.74585,5757.445313,4356.260742,3047.042236,2620.318604,5581.827148,3677.003174,3914.706543,7396.444824,8027.193848,2360.423584,7286.875
A0A0G2K0V4;A0A1B0GWY5;Q5FVC2,A0A0G2K0V4_RAT,239764.125,241948.4531,225340.0625,242881.8125,224013.2344,252705.5469,217958.125,250252.3125,182910.9063,206553.4219,229142.2969,233814.6094
A0A0G2K0W0;Q6F596,A0A0G2K0W0_RAT,4456.969727,4401.498535,9185.235352,8335.012695,5265.645996,4103.477539,6012.853027,10173.34277,10546.49219,5183.296875,4386.111328,5094.548828
A0A0G2K0W1;Q8CJH2,A0A0G2K0W1_RAT,13565.11035,9774.539063,9848.758789,15293.10742,14707.67871,14965.77539,22057.76563,16972.90039,24744.48633,18620.84375,12959.90918,11209.32227
A0A0G2K0W9,A0A0G2K0W9_RAT,737453.875,864509.125,823587.25,809472.8125,798930.25,854342.75,864774.5625,804366.1875,985075.4375,900950.75,786406.6875,842220.6875
A0A0G2K0X8;P08289,A0A0G2K0X8_RAT,4136.751465,4365.403809,4468.036621,4565.381836,6661.057617,6563.48584,9125.663086,9583.158203,10018.69824,7084.114258,9713.536133,5094.658691
A0A0G2K0X9;G3V699;Q9Z2Q1,A0A0G2K0X9_RAT,204793.0781,206566.8594,198077.4688,215197.3125,186515.25,220585.0469,211772.9063,234616.5156,213619.4844,215392.5,203425.6875,197528.875
A0A0G2K0Y5;D3ZXB0,A0A0G2K0Y5_RAT,92437.21094,4456.371582,116981.625,82332.41406,5313.437988,3117.150146,135687.0313,133070.6875,115152.7188,100209.5781,104726.9297,3593.517578
A0A0G2K0Z7;P35571,A0A0G2K0Z7_RAT,548627.4375,525438.9375,520083,556192.25,527262.125,590416.875,558246.5625,521069.8125,498071.3125,574184.75,554683.25,589904.625
A0A0G2K101;G3V7L9;Q9ESV1,A0A0G2K101_RAT,36678.125,28274.59961,39681.40234,38955.71094,14827.53613,17641.83984,25933.72656,18765.04297,35940.66406,10635.24902,26664.52539,32210.67578
A0A0G2K109;A0A0G2K324;D3ZCM7;E9PTW9;F1LQJ5;F1M0E7;Q07141;Q496Z7;Q9JIT3,A0A0G2K109_RAT,7877,79295.41406,11752.96777,30964.30078,20942.44141,21210.48828,32345.68359,9879.145508,9690.339844,28452.29688,20100.33984,25531.09766
A0A0G2K110;Q3KRD8,A0A0G2K110_RAT,87209.60938,95140.30469,87263.42969,96739.70313,84159.54688,89867.875,93940.84375,88250.07813,88630.25,96972.67188,86667.17969,79509.5
A0A0G2K121;Q5FVQ4,A0A0G2K121_RAT,175319.6719,172820.8906,157532.7031,168954.2969,176711.3594,191271.1563,160865.9063,194656.7344,242893.3125,168489.5313,141100.0313,134581.6094
A0A0G2K127;P29534,A0A0G2K127_RAT,42546.69531,44889.39844,52479.43359,43756.60547,37443.75391,44635.11719,55684.19141,35977.04297,53847.28125,53019.78125,52365.99219,33732.92578
A0A0G2K132,A0A0G2K132_RAT,79590.34375,78146.19531,95254.49219,98792.79688,82840.63281,100021.6563,91168.82031,90475.19531,70112.83594,95398.15625,81350.13281,69479.60938
A0A0G2K146;B2RZ41,A0A0G2K146_RAT,27854.90039,28739.9707,27148.93945,25620.07031,27757.0293,20204.73438,27826.60156,20306.77148,30816.83594,23538.15234,23158.70898,25005.93555
A0A0G2K149;F1M176;Q8VD38,A0A0G2K149_RAT,65888.66406,112076.625,80172.61719,68413.16406,66436.15625,298095.1875,70549.1875,98242.99219,62767.3125,304118,73340.03906,88349.41406
A0A0G2K151;P02650;Q65ZS7;Q6PAH0,A0A0G2K151_RAT,750913.75,953928.125,857747.0625,1094177.75,913227.25,890580.5625,1048506.75,1168151.375,1591078.625,1053356.75,1042488.875,869769.875
A0A0G2K161;A0A0G2KAK2;D3ZIP3,A0A0G2K161_RAT,5114.29834,2607.736572,6066.892578,10040.93066,9080.15625,9146.901367,9717.210938,8853.661133,5245.980469,5918.081055,7330.90332,7737.823242
A0A0G2K167;Q4G069,A0A0G2K167_RAT,54783.35938,58734.51172,54322.64063,61643.6875,58021.34375,60784.0625,62146.85156,59133.60547,66614.88281,62880.17969,60591.875,65890.50781
A0A0G2K189,A0A0G2K189_RAT,86532.69531,86589.92188,89634.63281,72028.39063,83451.07031,84157.69531,85257.16406,66208.05469,65958.21094,98691.83594,88973.42188,89142.25781
A0A0G2K1A0;B5DFB7;D4A5Y6;M0RBI3,A0A0G2K1A0_RAT,4021.327881,6844.495117,7760.221191,9135.771484,9780.494141,7300.540527,4981.42627,5479.8125,17276.82227,8401.666016,7651.717773,10643.16113
A0A0G2K1A8;A1A5P7,A0A0G2K1A8_RAT,7665.578125,4188.574219,8161.126465,9900.626953,5780.135742,9056.374023,7855.413086,5916.041504,5991.998047,5625.263672,8002.666992,3963.891113
A0A0G2K1B4;A1L127;Q62739,A0A0G2K1B4_RAT,10654.80859,6474.583984,10077.78906,7853.038086,8617.205078,8288.210938,9667.046875,11066.60449,9432.240234,6332.275391,10594.0332,3083.458984
A0A0G2K1B5;G3V9Q2;P49797,A0A0G2K1B5_RAT,6866.790039,7925.753418,7310.699707,14276.4209,14328.3457,6565.375,16811.63086,8006.852539,18167.38086,6025.124023,16878.98828,7381.160156
A0A0G2K1C0;Q4V7C7,A0A0G2K1C0_RAT,1373355,1411000.5,1300780.5,1182907.625,1426349.375,1217768.75,1374604.5,1176736.5,1121374.125,1251836,1211892.75,1295455.5
A0A0G2K1D0;Q3C2P8,A0A0G2K1D0_RAT,3231.613037,6436.739258,3208.51416,7118.749023,2946.342285,3540.560059,3386.575195,3782.980957,4398.061523,6564.923828,3705.917969,6473.295898
A0A0G2K1D2,A0A0G2K1D2_RAT,1211320.25,1082251.75,1342585.875,1259001.625,1189232.375,1323154.375,1136819.625,1378712.625,1123786.875,1167445,1205925.375,1160699.75
A0A0G2K1G8,A0A0G2K1G8_RAT,81151.75781,108457.6172,90702.50781,115601.8984,110835.0547,120519.7969,118159.9297,118043.2734,125968.9766,131530.0313,116553.6016,105917.4609
A0A0G2K1H2;P22831,A0A0G2K1H2_RAT,711130.8125,730646.875,641660.3125,756840,799538.5,640269.6875,663899.625,501287.4375,651054.875,570094.25,500190.5938,627933.25
A0A0G2K1L0,A0A0G2K1L0_RAT,60175.84766,81992.17969,70347.54688,74214.90625,88900.86719,73367.32031,87714.35156,32704.74219,60088.80859,81677.23438,78263.35156,49940.92969
A0A0G2K1L5;M0R8C1;Q0VGJ9,A0A0G2K1L5_RAT,119723.375,177004.8281,116839.8359,108135.5625,121930.0703,174268.5313,135041.8906,132718.2188,167208.8438,167673.7344,141933.9375,133602.5313
A0A0G2K1L8,A0A0G2K1L8_RAT,522962.9063,587909.0625,537164.5625,515561.1875,965451.8125,469717.1563,570396.375,528267.0625,714696.875,470402.2813,547532.375,665320.5625
A0A0G2K1N3;Q5M893,A0A0G2K1N3_RAT,6488.828613,3545.58252,6908.304199,2748.315918,8261.873047,8102.664063,9205.005859,8646.073242,7969.752441,3166.723389,5475.793457,7336.967285
A0A0G2K1N9;B2GVA1,A0A0G2K1N9_RAT,34015.46484,34677.52344,8252.625,8893.238281,10438.09766,8385.407227,25331.93945,36359.87109,30004.48047,8660.707031,27597.18164,4422.178711
A0A0G2K1P1,A0A0G2K1P1_RAT,30236.03516,22483.2793,33556.78516,31837.46094,31816.74805,38146.1875,34911.79297,40585.40234,35166.98828,35869.53125,29266.41016,39271.94531
A0A0G2K1P3;D3ZGE0,A0A0G2K1P3_RAT,4001.597656,3183.322266,7545.737793,10001.92383,8270.730469,6756.389648,9419.873047,7913.411133,6452.002441,2063.5354,6918.829102,3375.2146
A0A0G2K1Q1;Q5FVQ8,A0A0G2K1Q1_RAT,59886.34766,48691.51172,62921.94531,56487.77734,73050.55469,71385.875,61553.00391,59145.57813,50477.18359,71568.66406,62593.23438,48902.04297
A0A0G2K1R5,A0A0G2K1R5_RAT,736714.375,820763.125,599071.6875,724142,741842.8125,801101.6875,777944.125,547716.375,780744.3125,932061.75,711244.4375,608981.5625
A0A0G2K1S6,A0A0G2K1S6_RAT,652207.8125,654704,575379.8125,537357.6875,564770.4375,577082.5625,475134.0313,486650.5625,467909.8125,482285.0625,434548.4375,416777.375
A0A0G2K1U5;Q3MHU5,A0A0G2K1U5_RAT,66321.63281,55634.97266,59900.35156,57196.16406,56329.55078,71262.72656,65354.10938,78691.51563,90921.36719,87706.61719,78976.91406,67621.67188
A0A0G2K1U9,A0A0G2K1U9_RAT,164736.6875,158470.625,172053.0625,185711.5781,157971.6719,169886.3125,174173.7188,168851.3906,148996.0156,180502.6563,188971.7344,161583.6094
A0A0G2K1W0;A0A1W2Q6N8;F2Z3S9;O09018;Q62681,A0A0G2K1W0_RAT,6769.49707,3698.943359,7207.117188,4626.711914,6401.464355,2587.343262,10607.4541,7275.857422,6175.123535,11211.20898,6456.854004,7343.987305
A0A0G2K1W1,A0A0G2K1W1_RAT,72669.78125,61570.80469,70476.19531,83186.70313,71508.09375,83532.40625,80031.48438,93627.53906,101806.6172,71699.64844,68903.32813,63528.64063
A0A0G2K1Z6;D3ZK83,A0A0G2K1Z6_RAT,6322.534668,10436.01074,5938.626953,4799.986816,6453.586426,25083.80469,5792.360352,6166.8125,6485.32666,20178.29102,6056.216797,2840.075684
A0A0G2K1Z9;D3ZP98,A0A0G2K1Z9_RAT,9116.462891,5301.956055,2721.148193,7898.723633,3527.348633,9909.853516,13873.0332,11733.57031,7704.225098,8403.799805,4852.330566,5717.898438
A0A0G2K210;F1LSN4;Q9JHX9,A0A0G2K210_RAT,10561.18164,11219.04688,11746.4248,13461.93457,16290.25977,14260.36133,11174.46582,13080.8125,20033.6543,17525.37891,15455.12598,13615.28516
A0A0G2K214,A0A0G2K214_RAT,21547.08008,18912.58789,29221.66992,7747.522461,27520.77539,32643.23438,33100.11328,22923.91602,30255.49023,34132.38281,27072.7207,21183.72461
A0A0G2K227;P31643,A0A0G2K227_RAT,61974.10938,55850.58594,63426.36328,82654.51563,51341.26563,63476.55078,39162.34375,94562.34375,76852.92188,68949.83594,89366.20313,84746.52344
A0A0G2K249;Q5RKH1,A0A0G2K249_RAT,4867.955566,2957.817871,5182.648926,3782.183594,8902.03125,24770.69141,2634.177002,9316.000977,5494.748047,30760.3418,5082.020996,20587.83203
A0A0G2K261,A0A0G2K261_RAT,288608.8125,255889.9844,264394.875,280017.3438,257055.7188,260665.6563,309395.0313,271195.1563,239370.1406,250213.3594,262226.2813,276996.8438
A0A0G2K264;F7EZZ0;Q5U2T0,A0A0G2K264_RAT,11225.63574,16192.23633,10162.53418,9258.599609,23070.0918,25347.81836,17507.09766,15087.08887,12660.34863,20229,16204.34961,19657.35156
A0A0G2K266;B2GV24,A0A0G2K266_RAT,28021.61719,24933.19141,34662.76563,33664.35547,31998.75,33523.49219,32231.58203,25819.05078,21505.625,31408.00391,26632.23047,24153.86523
A0A0G2K285,A0A0G2K285_RAT,13079.11133,12347.5293,11232.66016,11020.93066,12249.19043,8151.833496,13876.7959,14889.95508,14908.80859,10983.07617,13702.04785,11230.77832
